Evolution,Iteration,Chromosome,Fitness
0,18,"[-46.0746, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",100577
0,18,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,18,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,18,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,18,"[-0.95, -21.01, -22.22, -47.7105, -94.4569, 56.1614, 0.68, 51.33, -37.1684]",100527
0,18,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100525
0,18,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",93020
0,18,"[-46.0746, 21.306, -22.22, -47.07, 16.0272, 81.88, 9.17, 64.5, -15.8941]",43685
0,18,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",42459
0,18,"[-0.95, -21.01, -22.22, -47.7105, -94.4569, 56.1614, 0.68, 51.33, 77.79]",41914
0,18,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",40838
0,18,"[67.4621, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",38127
0,19,"[-46.0746, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",100577
0,19,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,19,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,19,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,19,"[-0.95, -21.01, -22.22, -47.7105, -94.4569, 56.1614, 0.68, 51.33, -37.1684]",100527
0,19,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100525
0,19,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100521
0,19,"[-0.95, -21.01, -22.22, -47.07, 98.894, 56.1614, 0.68, 51.33, 77.79]",35999
0,19,"[-46.0746, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",27307
0,19,"[-10.6215, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",25105
0,19,"[-0.95, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",17608
0,19,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",13970
0,20,"[-46.0746, -21.01, -22.22, -47.07, 95.6958, 81.88, 9.17, 64.5, -15.8941]",100577
0,20,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 47.5819, 64.5, 94.49]",100536
0,20,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100535
0,20,"[-0.95, -21.01, -22.22, -47.07, -94.4569, 56.1614, 0.68, 51.33, 77.79]",100534
0,20,"[-0.95, -21.01, -22.22, -47.7105, -94.4569, 56.1614, 0.68, 51.33, -37.1684]",100527
0,20,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",100525
0,20,"[-0.95, -21.01, -22.22, -47.07, 18.95, 56.1614, 0.68, 51.33, 77.79]",63475
